outcome,continuouspredictor,phylogeny,estimate_lower,estimate_upper,association_present
strict three way,origin wild minus captive,No,-0.160904632,0.05,not
strict three way,origin wild minus captive,Yes,-0.162743555,0.06,not
strict female dominance,origin wild minus captive,No,-0.15809297,-0.02,confident
strict female dominance,origin wild minus captive,Yes,-0.363155089,0.03,not
strict male dominance,origin wild minus captive,No,-0.081329791,0.14,not
strict male dominance,origin wild minus captive,Yes,-0.100102256,0.14,not
perc_won,female_infanticide Yes minus No,No,-0.087652256,-0.03,confident
perc_won,female_infanticide Yes minus No,Yes,0.091972395,0.44,confident
strict three way,female_infanticide Yes minus No,No,-0.174553982,0.1,not
strict three way,female_infanticide Yes minus No,Yes,-0.144736038,0.15,not
strict female dominance,female_infanticide Yes minus No,No,-0.013367461,0.16,not
strict female dominance,female_infanticide Yes minus No,Yes,-0.232053159,0.25,not
strict male dominance,female_infanticide Yes minus No,No,-0.09939105,0.16,not
strict male dominance,female_infanticide Yes minus No,Yes,-0.136953111,0.15,not
perc_won,MatSysPMK PAN minus MON,No,-0.147536019,0.02,not
perc_won,MatSysPMK POL minus MON,No,-0.43097971,-0.26,confident
perc_won,MatSysPMK PRO minus MON,No,-0.296077625,-0.14,confident
perc_won,MatSysPMK POL minus PAN,No,-0.333800505,-0.22,confident
perc_won,MatSysPMK PRO minus PAN,No,-0.185114882,-0.12,confident
perc_won,MatSysPMK PRO minus POL,No,0.091279718,0.17,confident
perc_won,MatSysPMK PAN minus MON,Yes,-0.395511435,0.42,not
perc_won,MatSysPMK POL minus MON,Yes,-0.636732651,0,not
perc_won,MatSysPMK PRO minus MON,Yes,-0.464746198,0.21,not
perc_won,MatSysPMK POL minus PAN,Yes,-0.606403491,-0.06,confident
perc_won,MatSysPMK PRO minus PAN,Yes,-0.395329531,0.11,not
perc_won,MatSysPMK PRO minus POL,Yes,0.034951926,0.36,confident
strict three way,MatSysPMK PAN minus MON,No,-0.266827072,0.15,not
strict three way,MatSysPMK POL minus MON,No,-0.505888695,-0.15,confident
strict three way,MatSysPMK PRO minus MON,No,-0.380748736,-0.03,confident
strict three way,MatSysPMK POL minus PAN,No,-0.436645303,-0.09,confident
strict three way,MatSysPMK PRO minus PAN,No,-0.310362009,0.03,not
strict three way,MatSysPMK PRO minus POL,No,0.013161683,0.24,confident
strict three way,MatSysPMK PAN minus MON,Yes,-0.266456648,0.16,not
strict three way,MatSysPMK POL minus MON,Yes,-0.502019807,-0.15,confident
strict three way,MatSysPMK PRO minus MON,Yes,-0.35609256,0.01,not
strict three way,MatSysPMK POL minus PAN,Yes,-0.454587544,-0.09,confident
strict three way,MatSysPMK PRO minus PAN,Yes,-0.292654775,0.05,not
strict three way,MatSysPMK PRO minus POL,Yes,0.028861302,0.29,confident
strict female dominance,MatSysPMK PAN minus MON,No,-0.270611786,0.13,not
strict female dominance,MatSysPMK POL minus MON,No,-0.37677498,-0.04,confident
strict female dominance,MatSysPMK PRO minus MON,No,-0.442192079,-0.13,confident
strict female dominance,MatSysPMK POL minus PAN,No,-0.28852888,0.01,not
strict female dominance,MatSysPMK PRO minus PAN,No,-0.351501356,-0.08,confident
strict female dominance,MatSysPMK PRO minus POL,No,-0.164921316,0,not
strict female dominance,MatSysPMK PAN minus MON,Yes,-0.317030795,0.19,not
strict female dominance,MatSysPMK POL minus MON,Yes,-0.366950873,0.14,not
strict female dominance,MatSysPMK PRO minus MON,Yes,-0.324373643,0.18,not
strict female dominance,MatSysPMK POL minus PAN,Yes,-0.285176011,0.22,not
strict female dominance,MatSysPMK PRO minus PAN,Yes,-0.238872358,0.23,not
strict female dominance,MatSysPMK PRO minus POL,Yes,-0.200913889,0.26,not
strict male dominance,MatSysPMK PAN minus MON,No,-0.170137967,0.24,not
strict male dominance,MatSysPMK POL minus MON,No,0.113181022,0.46,confident
strict male dominance,MatSysPMK PRO minus MON,No,-0.031542886,0.29,not
strict male dominance,MatSysPMK POL minus PAN,No,0.075302332,0.43,confident
strict male dominance,MatSysPMK PRO minus PAN,No,-0.059531406,0.26,not
strict male dominance,MatSysPMK PRO minus POL,No,-0.274480198,-0.03,confident
strict male dominance,MatSysPMK PAN minus MON,Yes,-0.189984742,0.22,not
strict male dominance,MatSysPMK POL minus MON,Yes,0.119470666,0.49,confident
