outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict female dominance,perc_aggression_mm,Yes,-1.4551097,0.69515725,not
strict male dominance,perc_aggression_mm,No,-1.40159765,-0.508048535,confident
strict male dominance,perc_aggression_mm,Yes,-1.9660454,-0.70592438,confident
perc_won,males,No,-0.163014245,-0.067592269,confident
perc_won,males,Yes,-0.048865815,0.21135391,not
strict three way,males,No,-0.162678,0.34617901,not
strict three way,males,Yes,-0.116132,0.473393755,not
strict female dominance,males,No,-0.602366855,0.32884442,not
strict female dominance,males,Yes,-0.94655472,0.334728305,not
strict male dominance,males,No,-0.36764746,0.141784025,not
strict male dominance,males,Yes,-0.544511055,0.071569025,not
perc_won,SocOrgPMK P minus G,No,0.510747,0.672836,confident
perc_won,SocOrgPMK P minus G,Yes,0.361532,0.714672,confident
strict three way,SocOrgPMK P minus G,No,-0.00579,0.425484,not
strict three way,SocOrgPMK P minus G,Yes,-0.02551,0.416869,not
strict female dominance,SocOrgPMK P minus G,No,0.21169,0.565312,confident
strict female dominance,SocOrgPMK P minus G,Yes,-0.10213,0.42782,not
strict male dominance,SocOrgPMK P minus G,No,-0.28077,0.091921,not
strict male dominance,SocOrgPMK P minus G,Yes,-0.37233,0.104166,not
perc_won,fissionfusion Yes minus No,No,0.065586,0.131717,confident
perc_won,fissionfusion Yes minus No,Yes,0.093539,0.34571,confident
strict three way,fissionfusion Yes minus No,No,-0.16043,0.121269,not
strict three way,fissionfusion Yes minus No,Yes,-0.23636,0.063058,not
strict female dominance,fissionfusion Yes minus No,No,0.01862,0.214293,confident
strict female dominance,fissionfusion Yes minus No,Yes,-0.28243,0.182053,not
strict male dominance,fissionfusion Yes minus No,No,-0.11869,0.152791,not
strict male dominance,fissionfusion Yes minus No,Yes,-0.08951,0.22892,not
perc_won,female_evictions Yes minus No,No,-0.64284,-0.26483,confident
perc_won,female_evictions Yes minus No,Yes,-0.44989,0.281376,not
strict three way,female_evictions Yes minus No,No,-0.26612,0.149571,not
strict three way,female_evictions Yes minus No,Yes,-0.29031,0.170037,not
strict female dominance,female_evictions Yes minus No,No,0.102016,0.428365,confident
strict female dominance,female_evictions Yes minus No,Yes,-0.18459,0.325689,not
strict male dominance,female_evictions Yes minus No,No,-0.24608,0.102239,not
strict male dominance,female_evictions Yes minus No,Yes,-0.18665,0.250303,not
perc_won,origin wild minus captive,No,-0.05999,-0.00849,confident
perc_won,origin wild minus captive,Yes,0.257725,0.473062,confident
strict three way,origin wild minus captive,No,-0.16397,0.074099,not
strict three way,origin wild minus captive,Yes,-0.13403,0.11909,not
strict female dominance,origin wild minus captive,No,-0.17771,-0.02375,confident
