outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict female dominance,Park Yes minus No,No,0.005112468,0.310695217,confident
strict female dominance,Park Yes minus No,Yes,-0.047795335,0.292979278,not
strict male dominance,Park Yes minus No,No,-0.11887647,0.119020113,not
strict male dominance,Park Yes minus No,Yes,-0.308993564,0.130729013,not
perc_won,maleinfanticide Yes minus No,No,-0.034969928,0.047568899,not
perc_won,maleinfanticide Yes minus No,Yes,0.259370726,0.645767431,confident
strict three way,maleinfanticide Yes minus No,No,-0.074629665,0.292563109,not
strict three way,maleinfanticide Yes minus No,Yes,-0.181311993,0.246514972,not
strict female dominance,maleinfanticide Yes minus No,No,0.017159636,0.396113124,confident
strict female dominance,maleinfanticide Yes minus No,Yes,-0.101101143,0.35925636,not
strict male dominance,maleinfanticide Yes minus No,No,-0.166802598,0.198763809,not
strict male dominance,maleinfanticide Yes minus No,Yes,-0.12713007,0.310542812,not
perc_won,AlloMaternalCare Yes minus No,No,-0.313224154,-0.210624394,confident
perc_won,AlloMaternalCare Yes minus No,Yes,-0.776434508,-0.272087852,confident
strict three way,AlloMaternalCare Yes minus No,No,-0.366933548,-0.07428419,confident
strict three way,AlloMaternalCare Yes minus No,Yes,-0.376695002,-0.083863492,confident
strict female dominance,AlloMaternalCare Yes minus No,No,-0.454552553,-0.163644364,confident
strict female dominance,AlloMaternalCare Yes minus No,Yes,-0.495426612,-0.179772222,confident
strict male dominance,AlloMaternalCare Yes minus No,No,-0.116328443,0.165395512,not
strict male dominance,AlloMaternalCare Yes minus No,Yes,-0.246754897,0.142691166,not
