outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict male dominance,males,Yes,-1.12944055,0.87234441,not
perc_won,SocOrgPMK P minus G,No,-0.069605096,0.002599055,not
perc_won,SocOrgPMK S minus G,No,-0.168765876,-0.093787524,confident
perc_won,SocOrgPMK S minus P,No,-0.139259612,-0.060683036,confident
perc_won,SocOrgPMK P minus G,Yes,0.066108389,0.437678576,confident
perc_won,SocOrgPMK S minus G,Yes,-0.539597163,-0.183395293,confident
perc_won,SocOrgPMK S minus P,Yes,-0.768753082,-0.4090855,confident
strict three way,SocOrgPMK P minus G,No,-0.111127991,0.268872852,not
strict three way,SocOrgPMK S minus G,No,-0.233653513,0.106272187,not
strict three way,SocOrgPMK S minus P,No,-0.335345983,0.056588567,not
strict three way,SocOrgPMK P minus G,Yes,-0.123241809,0.264215732,not
strict three way,SocOrgPMK S minus G,Yes,-0.231592252,0.136750048,not
strict three way,SocOrgPMK S minus P,Yes,-0.334381317,0.095242519,not
strict female dominance,SocOrgPMK P minus G,No,-0.152826616,0.196607626,not
strict female dominance,SocOrgPMK S minus G,No,-0.277325651,0.078640742,not
strict female dominance,SocOrgPMK S minus P,No,-0.327319312,0.072402723,not
strict female dominance,SocOrgPMK P minus G,Yes,-0.141650498,0.264069378,not
strict female dominance,SocOrgPMK S minus G,Yes,-0.245251194,0.120534679,not
strict female dominance,SocOrgPMK S minus P,Yes,-0.340818322,0.08972548,not
strict male dominance,SocOrgPMK P minus G,No,0.000133739,0.29764338,confident
strict male dominance,SocOrgPMK S minus G,No,-0.024790248,0.254638107,not
strict male dominance,SocOrgPMK S minus P,No,-0.209621491,0.144469649,not
strict male dominance,SocOrgPMK P minus G,Yes,-0.220958226,0.295782901,not
strict male dominance,SocOrgPMK S minus G,Yes,-0.220800111,0.274157967,not
strict male dominance,SocOrgPMK S minus P,Yes,-0.275059316,0.254731256,not
perc_won,RelativeLactationDuration,No,-0.42525653,-0.174305665,confident
perc_won,RelativeLactationDuration,Yes,-0.295859045,0.686812945,not
strict three way,RelativeLactationDuration,No,-0.655097945,0.760374835,not
strict three way,RelativeLactationDuration,Yes,-0.668872755,0.73319455,not
