,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
160,perc_won,dimorphic females,yes,-0.44692547,0.066261497
161,strict,no dimorphic females,no,-2.07846635,-0.85809842
162,strict,dimorphic females,no,-0.69675156,-0.015335235
163,strict,no dimorphic females,yes,-2.0737059,-0.868826715
164,strict,dimorphic females,yes,-0.65713501,0.086091458
165,relaxed,no dimorphic females,no,-1.6592207,-0.599340715
166,relaxed,dimorphic females,no,-0.76608871,0.097871369
167,relaxed,no dimorphic females,yes,-2.79814095,-1.50860435
168,relaxed,dimorphic females,yes,-1.23581225,-0.149104835
169,perc_won,no dimorphic males,no,-0.938219825,-0.800732805
170,perc_won,dimorphic males,no,-0.260159255,-0.16187468
171,perc_won,no dimorphic males,yes,-0.20256824,0.19273706
172,perc_won,dimorphic males,yes,-0.63335974,-0.255175975
173,strict,no dimorphic males,no,-1.3460347,-0.140210285
174,strict,dimorphic males,no,-0.048123087,0.455902025
175,strict,no dimorphic males,yes,-1.35664385,-0.18753959
176,strict,dimorphic males,yes,-0.030077241,0.540304505
177,relaxed,no dimorphic males,no,-1.17334375,-0.111930035
178,relaxed,dimorphic males,no,-0.302780095,0.358905405
179,relaxed,no dimorphic males,yes,-2.3995307,-1.11529395
180,relaxed,dimorphic males,yes,-0.369977445,0.43932468
181,perc_won,no dimorphic homerange_overlap,no,0.11487539,0.26569121
182,perc_won,dimorphic homerange_overlap,no,-0.424422685,-0.287800205
183,perc_won,no dimorphic homerange_overlap,yes,-3.964095,-2.4427954
184,perc_won,dimorphic homerange_overlap,yes,-0.85513503,0.092520319
185,strict,no dimorphic homerange_overlap,no,-0.57954514,0.546106855
186,strict,dimorphic homerange_overlap,no,-0.32663171,0.39991749
187,strict,no dimorphic homerange_overlap,yes,-0.63116164,0.550843865
188,strict,dimorphic homerange_overlap,yes,-0.327998595,0.401388915
189,relaxed,no dimorphic homerange_overlap,no,-0.60291491,0.41229643
190,relaxed,dimorphic homerange_overlap,no,-0.842483785,0.064317219
191,relaxed,no dimorphic homerange_overlap,yes,-1.57358575,-0.22093695
192,relaxed,dimorphic homerange_overlap,yes,-1.0390477,0.039069317
193,perc_won,no dimorphic perc_aggression_mm,no,0.87073768,1.08542345
194,perc_won,dimorphic perc_aggression_mm,no,0.60425314,0.75475218
195,perc_won,no dimorphic perc_aggression_mm,yes,0.708646015,1.41792195
196,perc_won,dimorphic perc_aggression_mm,yes,-0.72548562,-0.239434705
197,strict,no dimorphic perc_aggression_mm,no,0.314220575,2.0457741
198,strict,dimorphic perc_aggression_mm,no,0.050974499,1.04402
199,strict,no dimorphic perc_aggression_mm,yes,0.22893427,2.0015833
200,strict,dimorphic perc_aggression_mm,yes,0.085400746,1.2087104
201,relaxed,no dimorphic perc_aggression_mm,no,-0.038599495,1.06908215
