"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"175","strict male dominance","relative_femalecaninesize","No",-0.62969569,-0.0329737359999999,"confident"
"176","strict male dominance","relative_femalecaninesize","Yes",-0.70210111,-0.0141686299999999,"confident"
"177","perc_won","SocOrgPMK P minus G","No",0.120163215398133,0.288886244503986,"confident"
"178","perc_won","SocOrgPMK P minus G","Yes",-0.20548816524152,0.417858606006939,"not"
"179","strict three way","SocOrgPMK P minus G","No",0.0395794421495689,0.406245382793759,"confident"
"180","strict three way","SocOrgPMK P minus G","Yes",0.0127386244583617,0.389571839409561,"confident"
"181","strict female dominance","SocOrgPMK P minus G","No",0.126814601109746,0.431583710737442,"confident"
"182","strict female dominance","SocOrgPMK P minus G","Yes",-0.187302529975077,0.310444351943424,"not"
"183","strict male dominance","SocOrgPMK P minus G","No",-0.301657028437799,0.0187201180823025,"not"
"184","strict male dominance","SocOrgPMK P minus G","Yes",-0.390110591910998,0.0140198812118945,"not"
"185","perc_won","MatSysPMK PAN minus MON","No",-0.14484112596309,0.00871364558066561,"not"
"186","perc_won","MatSysPMK POL minus MON","No",-0.342146285239836,-0.185641135244294,"confident"
"187","perc_won","MatSysPMK PRO minus MON","No",-0.30196554031947,-0.155142340737442,"confident"
"188","perc_won","MatSysPMK POL minus PAN","No",-0.239678362408507,-0.153962684737945,"confident"
"189","perc_won","MatSysPMK PRO minus PAN","No",-0.19436415655875,-0.121344726962482,"confident"
"190","perc_won","MatSysPMK PRO minus POL","No",0.011045365774399,0.067595049840613,"confident"
"191","perc_won","MatSysPMK PAN minus MON","Yes",-0.346774524017619,0.486211029632106,"not"
"192","perc_won","MatSysPMK POL minus MON","Yes",-0.507359388189056,0.161552155211515,"not"
"193","perc_won","MatSysPMK PRO minus MON","Yes",-0.33836483799445,0.290918466498236,"not"
"194","perc_won","MatSysPMK POL minus PAN","Yes",-0.603236769137753,0.106711897823099,"not"
"195","perc_won","MatSysPMK PRO minus PAN","Yes",-0.463671522275644,0.2629149331215,"not"
"196","perc_won","MatSysPMK PRO minus POL","Yes",-0.0299529973035396,0.340863446399898,"not"
"197","strict three way","MatSysPMK PAN minus MON","No",-0.286162774972688,0.119494644824019,"not"
"198","strict three way","MatSysPMK POL minus MON","No",-0.466640566228721,-0.0943902109442591,"confident"
"199","strict three way","MatSysPMK PRO minus MON","No",-0.333794812426541,-0.00157393683734025,"confident"
"200","strict three way","MatSysPMK POL minus PAN","No",-0.382681103532377,-0.0273099679976595,"confident"
"201","strict three way","MatSysPMK PRO minus PAN","No",-0.253456582910346,0.0788301396566151,"not"
"202","strict three way","MatSysPMK PRO minus POL","No",-0.0111267937017396,0.243775789660581,"not"
"203","strict three way","MatSysPMK PAN minus MON","Yes",-0.291157041892791,0.135023796034294,"not"
"204","strict three way","MatSysPMK POL minus MON","Yes",-0.456861164984208,-0.0896786121708902,"confident"
"205","strict three way","MatSysPMK PRO minus MON","Yes",-0.310255117460141,0.035999556301039,"not"
"206","strict three way","MatSysPMK POL minus PAN","Yes",-0.387323988578037,-0.00811107472074112,"confident"
"207","strict three way","MatSysPMK PRO minus PAN","Yes",-0.241094340056191,0.119639463393863,"not"
"208","strict three way","MatSysPMK PRO minus POL","Yes",0.00953506488829759,0.270861114217511,"confident"
"209","strict female dominance","MatSysPMK PAN minus MON","No",-0.207868280546944,0.167487923979477,"not"
"210","strict female dominance","MatSysPMK POL minus MON","No",-0.296353114164302,0.0190985731961515,"not"
"211","strict female dominance","MatSysPMK PRO minus MON","No",-0.361953866764373,-0.0859577089091707,"confident"
"212","strict female dominance","MatSysPMK POL minus PAN","No",-0.264074581086452,0.0354430892078564,"not"
"213","strict female dominance","MatSysPMK PRO minus PAN","No",-0.336977449732571,-0.0671116781349367,"confident"
"214","strict female dominance","MatSysPMK PRO minus POL","No",-0.180472347978685,0.00610962273105517,"not"
"215","strict female dominance","MatSysPMK PAN minus MON","Yes",-0.263620662750102,0.253488365295568,"not"
