,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
114,perc_won,males,Yes,0.000431314,0.24902904,confident
115,strict three way,males,No,-0.761338475,-0.074511574,confident
116,strict three way,males,Yes,-0.81632409,-0.041224852,confident
117,strict female dominance,males,No,-0.61592513,0.10517776,not
118,strict female dominance,males,Yes,-0.691375435,0.108147345,not
119,strict male dominance,males,No,-0.043033389,0.774436555,not
120,strict male dominance,males,Yes,0.03900805,1.0522581,confident
121,perc_won,homerange_overlap,No,0.076535385,0.18544822,confident
122,perc_won,homerange_overlap,Yes,-2.53266485,-1.4263846,confident
123,strict three way,homerange_overlap,No,-0.38046296,0.42891786,not
124,strict three way,homerange_overlap,Yes,-0.50132145,0.36810965,not
125,strict female dominance,homerange_overlap,No,-0.64552599,0.17591581,not
126,strict female dominance,homerange_overlap,Yes,-0.83880736,0.176518075,not
127,strict male dominance,homerange_overlap,No,-0.872860455,0.11335065,not
128,strict male dominance,homerange_overlap,Yes,-0.967210445,0.176297445,not
129,perc_won,perc_aggression_mm,No,0.78217968,0.972088175,confident
130,perc_won,perc_aggression_mm,Yes,1.12792535,1.86362205,confident
131,strict three way,perc_aggression_mm,No,0.169928505,1.6290502,confident
132,strict three way,perc_aggression_mm,Yes,0.20084113,1.64885235,confident
133,strict female dominance,perc_aggression_mm,No,0.062112623,1.27488915,confident
134,strict female dominance,perc_aggression_mm,Yes,0.384370815,2.1436173,confident
135,strict male dominance,perc_aggression_mm,No,-0.846393275,0.340892675,not
136,strict male dominance,perc_aggression_mm,Yes,-1.20781845,0.362862055,not
137,perc_won,sexualreceptivity_hours,No,-1.11426165,-0.875395555,confident
138,perc_won,sexualreceptivity_hours,Yes,-1.18904465,-0.807573585,confident
139,strict three way,sexualreceptivity_hours,No,-2.54875295,-0.684858195,confident
140,strict three way,sexualreceptivity_hours,Yes,-2.47075505,-0.53705886,confident
141,strict female dominance,sexualreceptivity_hours,No,-1.43678125,-0.22646632,confident
142,strict female dominance,sexualreceptivity_hours,Yes,-2.45367895,-0.51541862,confident
143,strict male dominance,sexualreceptivity_hours,No,-0.69180572,0.667696365,not
144,strict male dominance,sexualreceptivity_hours,Yes,-1.214127,1.04135635,not
145,perc_won,receptive_synchrony,No,-0.350502865,-0.16120861,confident
146,perc_won,receptive_synchrony,Yes,-2.48350535,-1.3180868,confident
147,strict three way,receptive_synchrony,No,-0.52815743,0.676903935,not
148,strict three way,receptive_synchrony,Yes,-0.69865681,0.614506845,not
149,strict female dominance,receptive_synchrony,No,-0.456409595,0.542335545,not
150,strict female dominance,receptive_synchrony,Yes,-0.72996704,0.592610875,not
151,strict male dominance,receptive_synchrony,No,-0.71161349,0.63837084,not
152,strict male dominance,receptive_synchrony,Yes,-1.20334345,0.98275196,not
153,perc_won,body_mass,No,-0.948829105,-0.78901376,confident
154,perc_won,body_mass,Yes,-1.6281029,-0.260377385,confident
155,strict three way,body_mass,No,-1.0515465,0.184103105,not
156,strict three way,body_mass,Yes,-1.2474875,0.16832518,not
157,strict female dominance,body_mass,No,-0.369821095,0.624162135,not
158,strict female dominance,body_mass,Yes,-0.580436895,0.793513345,not
159,strict male dominance,body_mass,No,0.244560415,1.42702425,confident
160,strict male dominance,body_mass,Yes,0.561997125,2.49058355,confident
161,perc_won,relative_testes_mass,No,-0.404436895,-0.25343246,confident
162,perc_won,relative_testes_mass,Yes,-0.46233555,0.38207291,not
163,strict three way,relative_testes_mass,No,-0.64838143,0.469269065,not
164,strict three way,relative_testes_mass,Yes,-0.649981795,0.495120055,not
165,strict female dominance,relative_testes_mass,No,-0.43411937,0.54067759,not
166,strict female dominance,relative_testes_mass,Yes,-0.53965983,0.757104935,not
167,strict male dominance,relative_testes_mass,No,-0.30984631,0.88782016,not
168,strict male dominance,relative_testes_mass,Yes,-0.291054465,1.44202395,not
169,perc_won,relative_femalecaninesize,No,0.572259655,0.740411465,confident
170,perc_won,relative_femalecaninesize,Yes,-0.22689377,0.82099091,not
171,strict three way,relative_femalecaninesize,No,-0.267593265,0.97357131,not
172,strict three way,relative_femalecaninesize,Yes,-0.17268499,0.99613236,not
173,strict female dominance,relative_femalecaninesize,No,-0.44452651,0.524789715,not
174,strict female dominance,relative_femalecaninesize,Yes,-0.52071917,0.69828262,not
175,strict male dominance,relative_femalecaninesize,No,-1.2620209,0.001766523,not
176,strict male dominance,relative_femalecaninesize,Yes,-2.202324,-0.28493001,confident
177,perc_won,SocOrgPMK P minus G,No,0.239643299,0.331996124,confident
178,perc_won,SocOrgPMK S minus G,No,0.190701551,0.262717006,confident
179,perc_won,SocOrgPMK S minus P,No,-0.105064187,-0.020090184,confident
180,perc_won,SocOrgPMK P minus G,Yes,0.586635721,0.864002726,confident
181,perc_won,SocOrgPMK S minus G,Yes,0.474302282,0.83117293,confident
182,perc_won,SocOrgPMK S minus P,Yes,-0.28512525,0.139940487,not
183,strict three way,SocOrgPMK P minus G,No,-0.050992256,0.27753442,not
184,strict three way,SocOrgPMK S minus G,No,-0.076826227,0.239818217,not
185,strict three way,SocOrgPMK S minus P,No,-0.209186784,0.152015134,not
186,strict three way,SocOrgPMK P minus G,Yes,-0.053993847,0.309235723,not
187,strict three way,SocOrgPMK S minus G,Yes,-0.084573629,0.261846272,not
188,strict three way,SocOrgPMK S minus P,Yes,-0.237806312,0.164888505,not
189,strict female dominance,SocOrgPMK P minus G,No,-0.074573647,0.256960584,not
190,strict female dominance,SocOrgPMK S minus G,No,-0.122019371,0.212063593,not
191,strict female dominance,SocOrgPMK S minus P,No,-0.241870033,0.162764309,not
192,strict female dominance,SocOrgPMK P minus G,Yes,-0.085210441,0.262422484,not
193,strict female dominance,SocOrgPMK S minus G,Yes,-0.145013074,0.213237944,not
194,strict female dominance,SocOrgPMK S minus P,Yes,-0.255043281,0.148672466,not
195,strict male dominance,SocOrgPMK P minus G,No,-0.153419739,0.13905864,not
196,strict male dominance,SocOrgPMK S minus G,No,-0.156485433,0.126061221,not
197,strict male dominance,SocOrgPMK S minus P,No,-0.181724316,0.163257686,not
198,strict male dominance,SocOrgPMK P minus G,Yes,-0.367264083,0.086870753,not
199,strict male dominance,SocOrgPMK S minus G,Yes,-0.355430234,0.085523818,not
200,strict male dominance,SocOrgPMK S minus P,Yes,-0.227996993,0.232439807,not
201,perc_won,MatSysPMK PAN minus MON,No,-0.3499952,-0.24926572,confident
202,perc_won,MatSysPMK POL minus MON,No,-0.289956883,-0.143262095,confident
203,perc_won,MatSysPMK PRO minus MON,No,-0.275898705,-0.17884981,confident
204,perc_won,MatSysPMK POL minus PAN,No,0.025323315,0.147805745,confident
205,perc_won,MatSysPMK PRO minus PAN,No,0.046499039,0.09665739,confident
206,perc_won,MatSysPMK PRO minus POL,No,-0.075578979,0.044885628,not
207,perc_won,MatSysPMK PAN minus MON,Yes,-0.734725308,-0.270497668,confident
208,perc_won,MatSysPMK POL minus MON,Yes,-0.710938542,-0.149460493,confident
209,perc_won,MatSysPMK PRO minus MON,Yes,-0.764037918,-0.32257036,confident
210,perc_won,MatSysPMK POL minus PAN,Yes,-0.172472428,0.327320659,not
211,perc_won,MatSysPMK PRO minus PAN,Yes,-0.287880004,0.230629926,not
212,perc_won,MatSysPMK PRO minus POL,Yes,-0.44874006,0.198405231,not
213,strict three way,MatSysPMK PAN minus MON,No,-0.289090233,0.070787714,not
214,strict three way,MatSysPMK POL minus MON,No,-0.3629501,0.047358009,not
215,strict three way,MatSysPMK PRO minus MON,No,-0.158803395,0.167455153,not
216,strict three way,MatSysPMK POL minus PAN,No,-0.257979204,0.153831445,not
217,strict three way,MatSysPMK PRO minus PAN,No,-0.052900801,0.276309465,not
218,strict three way,MatSysPMK PRO minus POL,No,-0.030098838,0.358117947,not
219,strict three way,MatSysPMK PAN minus MON,Yes,-0.306808907,0.062346015,not
220,strict three way,MatSysPMK POL minus MON,Yes,-0.371151138,0.055605521,not
221,strict three way,MatSysPMK PRO minus MON,Yes,-0.1638295,0.176077706,not
222,strict three way,MatSysPMK POL minus PAN,Yes,-0.237770621,0.164357974,not
223,strict three way,MatSysPMK PRO minus PAN,Yes,-0.04583893,0.289906725,not
224,strict three way,MatSysPMK PRO minus POL,Yes,-0.036514641,0.360499019,not
225,strict female dominance,MatSysPMK PAN minus MON,No,-0.286631467,0.085568607,not
226,strict female dominance,MatSysPMK POL minus MON,No,-0.270227871,0.159968181,not
227,strict female dominance,MatSysPMK PRO minus MON,No,-0.148292124,0.208782914,not
228,strict female dominance,MatSysPMK POL minus PAN,No,-0.144121026,0.244806711,not
229,strict female dominance,MatSysPMK PRO minus PAN,No,-0.018926097,0.304622317,not
230,strict female dominance,MatSysPMK PRO minus POL,No,-0.103282074,0.280120864,not
231,strict female dominance,MatSysPMK PAN minus MON,Yes,-0.314342426,0.08031919,not
232,strict female dominance,MatSysPMK POL minus MON,Yes,-0.301681562,0.120553668,not
233,strict female dominance,MatSysPMK PRO minus MON,Yes,-0.128838027,0.228117056,not
234,strict female dominance,MatSysPMK POL minus PAN,Yes,-0.18186201,0.239287089,not
235,strict female dominance,MatSysPMK PRO minus PAN,Yes,-0.005277796,0.336158057,not
236,strict female dominance,MatSysPMK PRO minus POL,Yes,-0.058086006,0.347566606,not
237,strict male dominance,MatSysPMK PAN minus MON,No,-0.115296962,0.219133031,not
238,strict male dominance,MatSysPMK POL minus MON,No,0.001176121,0.403227373,confident
239,strict male dominance,MatSysPMK PRO minus MON,No,-0.136086431,0.175895788,not
240,strict male dominance,MatSysPMK POL minus PAN,No,-0.038906866,0.342210948,not
241,strict male dominance,MatSysPMK PRO minus PAN,No,-0.186744995,0.119609809,not
242,strict male dominance,MatSysPMK PRO minus POL,No,-0.373368142,-0.006820221,confident
243,strict male dominance,MatSysPMK PAN minus MON,Yes,-0.169048194,0.28499527,not
244,strict male dominance,MatSysPMK POL minus MON,Yes,-0.070509687,0.385251729,not
245,strict male dominance,MatSysPMK PRO minus MON,Yes,-0.12993668,0.277148418,not
246,strict male dominance,MatSysPMK POL minus PAN,Yes,-0.131640263,0.308012304,not
247,strict male dominance,MatSysPMK PRO minus PAN,Yes,-0.18796679,0.219560505,not
248,strict male dominance,MatSysPMK PRO minus POL,Yes,-0.301345116,0.127488188,not
249,perc_won,female_dispersal Yes minus No,No,-0.530676038,-0.387276077,confident
250,perc_won,female_dispersal Yes minus No,Yes,-0.451220425,-0.086572594,confident
251,strict three way,female_dispersal Yes minus No,No,-0.517851541,-0.205783788,confident
252,strict three way,female_dispersal Yes minus No,Yes,-0.515800692,-0.179365734,confident
253,strict female dominance,female_dispersal Yes minus No,No,-0.459759615,-0.138715829,confident
