"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"26","perc_won","female_average_relatedness","Yes",-0.655135875,0.89479146,"not"
"27","strict three way","female_average_relatedness","No",-1.52650775,0.205333435,"not"
"28","strict three way","female_average_relatedness","Yes",-1.51803915,0.36104584,"not"
"29","strict female dominance","female_average_relatedness","No",-0.958116,0.26590569,"not"
"30","strict female dominance","female_average_relatedness","Yes",-1.6042712,0.41960504,"not"
"31","strict male dominance","female_average_relatedness","No",-0.742922605,0.719060795,"not"
"32","strict male dominance","female_average_relatedness","Yes",-1.2729783,1.0970845,"not"
"33","perc_won","Synchrony","No",0.321569075,0.824408415,"confident"
"34","perc_won","Synchrony","Yes",-0.73363047,1.4320721,"not"
"35","strict three way","Synchrony","No",-0.22154466,1.84113885,"not"
"36","strict three way","Synchrony","Yes",-0.29127965,1.8810856,"not"
"37","strict female dominance","Synchrony","No",-0.29695689,0.96672198,"not"
"38","strict female dominance","Synchrony","Yes",-0.277930685,1.7340569,"not"
"39","strict male dominance","Synchrony","No",-0.70905276,0.666819705,"not"
"40","strict male dominance","Synchrony","Yes",-1.2961173,1.1019799,"not"
"41","perc_won","r_seasonality_value","No",0.73867241,1.32868465,"confident"
"42","perc_won","r_seasonality_value","Yes",0.16870625,1.54025475,"confident"
"43","strict three way","r_seasonality_value","No",-0.143718655,2.4130356,"not"
"44","strict three way","r_seasonality_value","Yes",-0.22860969,2.4591702,"not"
"45","strict female dominance","r_seasonality_value","No",-0.321550425,1.16215455,"not"
"46","strict female dominance","r_seasonality_value","Yes",-0.07889583,2.3937416,"not"
"47","strict male dominance","r_seasonality_value","No",-0.712844725,0.707418195,"not"
"48","strict male dominance","r_seasonality_value","Yes",-1.2803682,1.3922182,"not"
"49","perc_won","M_skew_index","No",0.56085596,1.3157311,"confident"
"50","perc_won","M_skew_index","Yes",-0.134777725,1.7041264,"not"
"51","strict three way","M_skew_index","No",-0.6878769,1.7149326,"not"
"52","strict three way","M_skew_index","Yes",-0.807037215,1.70420765,"not"
"53","strict female dominance","M_skew_index","No",-0.567716385,0.88369918,"not"
"54","strict female dominance","M_skew_index","Yes",-0.78406493,1.52345305,"not"
"55","strict male dominance","M_skew_index","No",-0.709704585,0.68377347,"not"
"56","strict male dominance","M_skew_index","Yes",-1.34567525,1.0892124,"not"
"57","perc_won","env_harshness","No",-0.21920995,-0.00423559044999996,"confident"
"58","perc_won","env_harshness","Yes",-2.36608825,-1.0532549,"confident"
"59","strict three way","env_harshness","No",-0.69887877,0.705559925,"not"
"60","strict three way","env_harshness","Yes",-0.71250699,0.72104258,"not"
"61","strict female dominance","env_harshness","No",-0.541611325,0.54687833,"not"
"62","strict female dominance","env_harshness","Yes",-0.66530201,0.655866585,"not"
"63","strict male dominance","env_harshness","No",-0.71376728,0.649020815,"not"
"64","strict male dominance","env_harshness","Yes",-1.1975698,0.95253954,"not"
"65","perc_won","rainfall_unpredictability","No",-0.44954805,-0.253686465,"confident"
"66","perc_won","rainfall_unpredictability","Yes",0.79321776,1.54848165,"confident"
"67","strict three way","rainfall_unpredictability","No",-1.35405685,0.18275084,"not"
"68","strict three way","rainfall_unpredictability","Yes",-1.34060575,0.198603015000001,"not"
"69","strict female dominance","rainfall_unpredictability","No",-0.90324623,0.203025625,"not"
"70","strict female dominance","rainfall_unpredictability","Yes",-1.2947376,0.20495004,"not"
"71","strict male dominance","rainfall_unpredictability","No",-0.693490155,0.613931245,"not"
"72","strict male dominance","rainfall_unpredictability","Yes",-1.1282713,1.0088081,"not"
"73","perc_won","rainfall_annualvariation","No",-0.386979025,-0.13757884,"confident"
"74","perc_won","rainfall_annualvariation","Yes",1.0753961,2.15178395,"confident"
"75","strict three way","rainfall_annualvariation","No",-1.1965028,0.28147274,"not"
"76","strict three way","rainfall_annualvariation","Yes",-1.2407056,0.355624835,"not"
"77","strict female dominance","rainfall_annualvariation","No",-0.794080895,0.30308821,"not"
"78","strict female dominance","rainfall_annualvariation","Yes",-1.085358,0.33916716,"not"
"79","strict male dominance","rainfall_annualvariation","No",-0.60873961,0.70798791,"not"
"80","strict male dominance","rainfall_annualvariation","Yes",-0.859092745,1.25745555,"not"
"81","perc_won","NDVI_Seasonality","No",-0.945372415,-0.48813364,"confident"
"82","perc_won","NDVI_Seasonality","Yes",-1.4034053,-0.578100045,"confident"
"83","strict three way","NDVI_Seasonality","No",-1.71071835,0.225228735,"not"
"84","strict three way","NDVI_Seasonality","Yes",-1.72377355,0.23670575,"not"
"85","strict female dominance","NDVI_Seasonality","No",-0.94429433,0.31600264,"not"
"86","strict female dominance","NDVI_Seasonality","Yes",-1.57618395,0.23833953,"not"
"87","strict male dominance","NDVI_Seasonality","No",-0.66966238,0.67896495,"not"
"88","strict male dominance","NDVI_Seasonality","Yes",-1.1643542,1.30702895,"not"
"89","perc_won","female_canine_height","No",-0.073259781,0.12423269,"not"
"90","perc_won","female_canine_height","Yes",-0.677694355,0.89844589,"not"
"91","strict three way","female_canine_height","No",-0.408523765,0.860693385,"not"
"92","strict three way","female_canine_height","Yes",-0.408660725,1.02861485,"not"
"93","strict female dominance","female_canine_height","No",-0.3879022,0.69766119,"not"
"94","strict female dominance","female_canine_height","Yes",-0.382989115,1.0748823,"not"
"95","strict male dominance","female_canine_height","No",-0.62574557,0.65378718,"not"
"96","strict male dominance","female_canine_height","Yes",-1.081163,1.1972655,"not"
"97","perc_won","male_canine_height","No",-0.0692793665,0.11348585,"not"
"98","perc_won","male_canine_height","Yes",-0.7217434,0.78160488,"not"
"99","strict three way","male_canine_height","No",-0.421827995,0.91516809,"not"
"100","strict three way","male_canine_height","Yes",-0.423916185,1.1109729,"not"
"101","strict female dominance","male_canine_height","No",-0.35866635,0.705538285,"not"
"102","strict female dominance","male_canine_height","Yes",-0.4081004,1.04274585,"not"
